Neighbour	Removing	Predicted-label	Prob-class0	Prob-class1	Prob-class2	Prob-class3
All	NA	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance	0.2	0.19	0.53	0.08
http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id1313instance	True	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance	0.23	0.23	0.46	0.08
http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id1313instance	False	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance	0.13	0.22333333333333333	0.5866666666666667	0.06
http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id924instance	True	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance	0.19	0.1733333333333333	0.5666666666666667	0.07
http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id924instance	False	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance	0.15	0.27	0.47	0.11
http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id746instance	True	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance	0.21	0.21	0.47	0.11
http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id746instance	False	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance	0.23	0.12	0.56	0.09
http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id1034instance	True	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance	0.2	0.15333333333333335	0.5666666666666667	0.08
http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id1034instance	False	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance	0.29	0.27	0.26	0.18
http://swrc.ontoware.org/ontology#Person	True	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance	0.18	0.22	0.55	0.05
http://swrc.ontoware.org/ontology#Person	False	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance	0.23	0.16	0.42	0.19
http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id967instance	True	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance	0.21	0.22	0.49	0.08
http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id967instance	False	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance	0.195	0.13	0.605	0.07
http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id864instance	True	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance	0.17	0.18333333333333332	0.5566666666666666	0.09
http://www.aifb.uni-karlsruhe.de/Publikationen/viewPublikationOWL/id864instance	False	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance	0.27	0.27	0.35	0.11
